epoch,f1-score,iou_score,loss,lr,precision,recall,val_f1-score,val_iou_score,val_loss,val_precision,val_recall
0,0.4624795615673065,0.37710925936698914,1.1928077936172485,0.1,0.47333043813705444,0.7156679630279541,0.11703720688819885,0.10975578427314758,1.914133906364441,0.11412061005830765,0.3749149441719055
1,0.6037232279777527,0.5171266198158264,0.8933393359184265,0.1,0.6123676300048828,0.8490572571754456,0.11727132648229599,0.11046166718006134,1.946813702583313,0.13402092456817627,0.374999463558197
2,0.6309494972229004,0.5533621311187744,0.8271409869194031,0.1,0.6391876935958862,0.876220703125,0.11748109012842178,0.11083465814590454,1.950780987739563,0.12871964275836945,0.37500038743019104
3,0.645838737487793,0.5744888782501221,0.7898536324501038,0.1,0.6527614593505859,0.8913344144821167,0.12439088523387909,0.11409671604633331,1.9163661003112793,0.4742768406867981,0.3786410987377167
4,0.6556458473205566,0.588860273361206,0.7645834684371948,0.1,0.6621286273002625,0.9012911915779114,0.23371770977973938,0.17756421864032745,1.6931859254837036,0.6583314538002014,0.4416128098964691
5,0.6603580117225647,0.5958459973335266,0.7523809671401978,0.1,0.666394829750061,0.906717836856842,0.4580449163913727,0.35121265053749084,1.239150881767273,0.6636669039726257,0.6234026551246643
6,0.6661520004272461,0.6047182083129883,0.7370831966400146,0.1,0.671302080154419,0.9130614995956421,0.5723288655281067,0.474589467048645,0.9764208197593689,0.6586583852767944,0.7668890357017517
7,0.6694431304931641,0.6097796559333801,0.7283324599266052,0.1,0.6751326322555542,0.9162532091140747,0.6146000027656555,0.529411256313324,0.8737748861312866,0.6394091248512268,0.8469883799552917
8,0.6726465225219727,0.6147602796554565,0.719821572303772,0.1,0.6773520708084106,0.9200107455253601,0.6324117183685303,0.5540558695793152,0.8295914530754089,0.6516610980033875,0.868306577205658
9,0.676343560218811,0.6204107403755188,0.7101476788520813,0.1,0.6809836030006409,0.9233292937278748,0.6306483149528503,0.5523935556411743,0.8306146264076233,0.6620709896087646,0.8562161922454834
10,0.6780893802642822,0.6231500506401062,0.7055101990699768,0.1,0.6823789477348328,0.9254741668701172,0.6240149140357971,0.5427612066268921,0.8530848622322083,0.6676319241523743,0.8416845202445984
11,0.681110680103302,0.6280111074447632,0.6973257064819336,0.1,0.6851592659950256,0.9284946322441101,0.6185402870178223,0.5347389578819275,0.8689916133880615,0.672583818435669,0.8288348913192749
12,0.6838769316673279,0.6322806477546692,0.6901130080223083,0.1,0.6882914900779724,0.9307586550712585,0.6237253546714783,0.5424484014511108,0.8530049324035645,0.6593483686447144,0.8456363081932068
13,0.6882560849189758,0.6392800807952881,0.6782808899879456,0.05,0.6928160786628723,0.9347182512283325,0.6332464218139648,0.5561157464981079,0.8256332278251648,0.681069016456604,0.8455672264099121
14,0.6947153210639954,0.6497661471366882,0.660780668258667,0.05,0.6995118260383606,0.9406169652938843,0.6357681155204773,0.5596786737442017,0.8203828930854797,0.6874599456787109,0.8452503681182861
15,0.6979909539222717,0.6551740169525146,0.6518478393554688,0.05,0.703083872795105,0.9435445070266724,0.632352888584137,0.5543932914733887,0.8311557173728943,0.6942459940910339,0.8356108069419861
16,0.6997197866439819,0.6580451726913452,0.6471049785614014,0.05,0.7045608758926392,0.9454442262649536,0.6304053068161011,0.5525163412094116,0.8318355679512024,0.6997926831245422,0.8308750987052917
17,0.6996102929115295,0.6579232811927795,0.6472851037979126,0.05,0.704253613948822,0.9455944895744324,0.6367645859718323,0.5605693459510803,0.8185147643089294,0.6986190676689148,0.8404288291931152
