epoch,f1-score,iou_score,loss,lr,precision,recall,val_f1-score,val_iou_score,val_loss,val_precision,val_recall
0,0.17817695438861847,0.141982764005661,1.7483688592910767,0.01,0.18307729065418243,0.436382532119751,0.16214154660701752,0.1610318422317505,3.6633894443511963,0.28611481189727783,0.3755495250225067
1,0.25677141547203064,0.19538503885269165,1.5959739685058594,0.01,0.26211512088775635,0.5131164193153381,0.06342873722314835,0.041015587747097015,3.206051826477051,0.1265721619129181,0.4110663831233978
2,0.3311174213886261,0.24659475684165955,1.4672120809555054,0.01,0.3420441746711731,0.5825072526931763,0.05135207995772362,0.031136851757764816,3.1539993286132812,0.12724611163139343,0.4015442132949829
3,0.38094890117645264,0.2838740348815918,1.377825379371643,0.01,0.3961886465549469,0.6289777755737305,0.02690708450973034,0.01404626201838255,3.6396217346191406,0.13084450364112854,0.4263617992401123
4,0.43144214153289795,0.3265261948108673,1.2807518243789673,0.01,0.4537349045276642,0.6737464070320129,0.21302589774131775,0.13698704540729523,2.0713257789611816,0.21552354097366333,0.632173478603363
5,0.4788985252380371,0.3708641231060028,1.1843681335449219,0.01,0.500059187412262,0.71624356508255,0.22362709045410156,0.14799660444259644,2.0665688514709473,0.23711687326431274,0.5718594789505005
6,0.503419041633606,0.39566341042518616,1.1324641704559326,0.01,0.5250735878944397,0.7405776977539062,0.12309852242469788,0.07038604468107224,2.8219926357269287,0.1755087673664093,0.5019533634185791
7,0.5256326794624329,0.41919732093811035,1.0851409435272217,0.01,0.5450013875961304,0.7636595964431763,0.1822868287563324,0.12198661267757416,2.104887008666992,0.22218821942806244,0.5192006230354309
8,0.5359019637107849,0.4306199848651886,1.0620142221450806,0.01,0.5604488849639893,0.7689350843429565,0.23618626594543457,0.15002518892288208,2.078883171081543,0.2553021013736725,0.6078076362609863
9,0.5591853857040405,0.4578000009059906,1.0090150833129883,0.01,0.5790848731994629,0.7950809001922607,0.41303396224975586,0.29955533146858215,1.4119873046875,0.41490164399147034,0.7180797457695007
10,0.5753652453422546,0.4776096045970917,0.9703777432441711,0.01,0.5936063528060913,0.8117040395736694,0.4656566083431244,0.35387086868286133,1.2496163845062256,0.4877292513847351,0.7299031019210815
